model,unified_id,scene,row_index,reason,sparse_manifest
qwen30,scene1::749,scene1,749,parse_failure_retry,analysis_outputs/experiment_completion/exp2/qwen30_sparse_manifest.csv
qwen30,scene2::260,scene2,260,missing_prediction,analysis_outputs/experiment_completion/exp2/qwen30_sparse_manifest.csv
qwen30,scene2::265,scene2,265,missing_prediction,analysis_outputs/experiment_completion/exp2/qwen30_sparse_manifest.csv
qwen30,scene2::335,scene2,335,missing_prediction,analysis_outputs/experiment_completion/exp2/qwen30_sparse_manifest.csv
qwen30,scene2::361,scene2,361,missing_prediction,analysis_outputs/experiment_completion/exp2/qwen30_sparse_manifest.csv
qwen30,scene2::374,scene2,374,missing_prediction,analysis_outputs/experiment_completion/exp2/qwen30_sparse_manifest.csv
qwen30,scene2::446,scene2,446,parse_failure_retry,analysis_outputs/experiment_completion/exp2/qwen30_sparse_manifest.csv
qwen30,scene2::498,scene2,498,missing_prediction,analysis_outputs/experiment_completion/exp2/qwen30_sparse_manifest.csv
qwen30,scene2::569,scene2,569,missing_prediction,analysis_outputs/experiment_completion/exp2/qwen30_sparse_manifest.csv
qwen30,scene2::641,scene2,641,parse_failure_retry,analysis_outputs/experiment_completion/exp2/qwen30_sparse_manifest.csv
qwen30,scene2::751,scene2,751,missing_prediction,analysis_outputs/experiment_completion/exp2/qwen30_sparse_manifest.csv
qwen30,scene2::792,scene2,792,missing_prediction,analysis_outputs/experiment_completion/exp2/qwen30_sparse_manifest.csv
qwen30,scene4_room1::15,scene4_room1,15,missing_prediction,analysis_outputs/experiment_completion/exp2/qwen30_sparse_manifest.csv
qwen30,scene4_room1::20,scene4_room1,20,missing_prediction,analysis_outputs/experiment_completion/exp2/qwen30_sparse_manifest.csv
qwen30,scene4_room1::33,scene4_room1,33,missing_prediction,analysis_outputs/experiment_completion/exp2/qwen30_sparse_manifest.csv
qwen30,scene4_room1::34,scene4_room1,34,missing_prediction,analysis_outputs/experiment_completion/exp2/qwen30_sparse_manifest.csv
qwen30,scene4_room1::37,scene4_room1,37,missing_prediction,analysis_outputs/experiment_completion/exp2/qwen30_sparse_manifest.csv
qwen30,scene4_room1::44,scene4_room1,44,missing_prediction,analysis_outputs/experiment_completion/exp2/qwen30_sparse_manifest.csv
qwen30,scene4_room1::45,scene4_room1,45,missing_prediction,analysis_outputs/experiment_completion/exp2/qwen30_sparse_manifest.csv
qwen30,scene4_room1::50,scene4_room1,50,parse_failure_retry,analysis_outputs/experiment_completion/exp2/qwen30_sparse_manifest.csv
qwen30,scene4_room1::64,scene4_room1,64,missing_prediction,analysis_outputs/experiment_completion/exp2/qwen30_sparse_manifest.csv
qwen30,scene4_room1::70,scene4_room1,70,missing_prediction,analysis_outputs/experiment_completion/exp2/qwen30_sparse_manifest.csv
qwen30,scene4_room1::76,scene4_room1,76,missing_prediction,analysis_outputs/experiment_completion/exp2/qwen30_sparse_manifest.csv
qwen30,scene4_room1::94,scene4_room1,94,missing_prediction,analysis_outputs/experiment_completion/exp2/qwen30_sparse_manifest.csv
qwen30,scene4_room1::99,scene4_room1,99,missing_prediction,analysis_outputs/experiment_completion/exp2/qwen30_sparse_manifest.csv
qwen30,scene4_room1::130,scene4_room1,130,missing_prediction,analysis_outputs/experiment_completion/exp2/qwen30_sparse_manifest.csv
qwen30,scene4_room1::138,scene4_room1,138,missing_prediction,analysis_outputs/experiment_completion/exp2/qwen30_sparse_manifest.csv
qwen30,scene4_room2::23,scene4_room2,23,parse_failure_retry,analysis_outputs/experiment_completion/exp2/qwen30_sparse_manifest.csv
qwen30,scene4_room2::117,scene4_room2,117,parse_failure_retry,analysis_outputs/experiment_completion/exp2/qwen30_sparse_manifest.csv
qwen30,scene4_room3::19,scene4_room3,19,missing_prediction,analysis_outputs/experiment_completion/exp2/qwen30_sparse_manifest.csv
qwen30,scene4_room4::61,scene4_room4,61,missing_prediction,analysis_outputs/experiment_completion/exp2/qwen30_sparse_manifest.csv
qwen30,scene5::9,scene5,9,missing_prediction,analysis_outputs/experiment_completion/exp2/qwen30_sparse_manifest.csv
qwen30,scene5::35,scene5,35,missing_prediction,analysis_outputs/experiment_completion/exp2/qwen30_sparse_manifest.csv
qwen30,scene5::58,scene5,58,missing_prediction,analysis_outputs/experiment_completion/exp2/qwen30_sparse_manifest.csv
qwen30,scene5::131,scene5,131,missing_prediction,analysis_outputs/experiment_completion/exp2/qwen30_sparse_manifest.csv
qwen30,scene5::266,scene5,266,parse_failure_retry,analysis_outputs/experiment_completion/exp2/qwen30_sparse_manifest.csv
qwen8,scene2::260,scene2,260,missing_prediction,analysis_outputs/experiment_completion/exp2/qwen8_sparse_manifest.csv
