variant,scene,total_gt_rows,total_prediction_files,response_status_ok_count,match_count_overall,overall_accuracy,exact_match_accuracy_overall,evaluable_row_count,mapped_only_accuracy,exact_match_accuracy_evaluable_only,micro_precision,micro_recall,micro_f1,delta_overall_accuracy_vs_baseline,delta_micro_f1_vs_baseline,source
full_baseline,scene1,800,800,797,615,0.7688,0.3550,800,0.7688,0.3550,0.6291,0.5241,0.5718,,,/workspace/usr3/TriModal-Referring/data/match_eval_qwen3vl30b_mention_first_v3
full_baseline,scene2,800,800,787,440,0.5500,0.1025,800,0.5500,0.1025,0.3511,0.2624,0.3003,,,/workspace/usr3/TriModal-Referring/data/match_eval_qwen3vl30b_mention_first_v3
full_baseline,scene3,800,800,795,619,0.7738,0.2512,800,0.7738,0.2512,0.5628,0.4512,0.5009,,,/workspace/usr3/TriModal-Referring/data/match_eval_qwen3vl30b_mention_first_v3
full_baseline,scene4_room1,200,200,199,192,0.9600,0.6250,200,0.9600,0.6250,0.8528,0.9035,0.8774,,,/workspace/usr3/TriModal-Referring/data/match_eval_qwen3vl30b_mention_first_v3
full_baseline,scene4_room2,200,200,198,198,0.9900,0.8700,200,0.9900,0.8700,0.9541,0.9314,0.9426,,,/workspace/usr3/TriModal-Referring/data/match_eval_qwen3vl30b_mention_first_v3
full_baseline,scene4_room3,200,200,199,196,0.9800,0.7600,200,0.9800,0.7600,0.9626,0.8793,0.9191,,,/workspace/usr3/TriModal-Referring/data/match_eval_qwen3vl30b_mention_first_v3
full_baseline,scene4_room4,200,200,199,196,0.9800,0.6700,200,0.9800,0.6700,0.8665,0.8317,0.8487,,,/workspace/usr3/TriModal-Referring/data/match_eval_qwen3vl30b_mention_first_v3
full_baseline,scene5,800,800,796,663,0.8287,0.2037,800,0.8287,0.2037,0.4378,0.5544,0.4892,,,/workspace/usr3/TriModal-Referring/data/match_eval_qwen3vl30b_mention_first_v3
full_baseline,ALL,4000,4000,3970,3119,0.7798,0.3287,4000,0.7798,0.3287,0.5649,0.5169,0.5399,,,/workspace/usr3/TriModal-Referring/data/match_eval_qwen3vl30b_mention_first_v3
language_anchors_only,scene1,800,800,777,420,0.5250,0.1537,800,0.5250,0.1537,0.5126,0.3807,0.4369,,,/workspace/usr3/TriModal-Referring/ablation/exam1/outputs/language_anchors_only
language_anchors_only,scene2,800,800,797,286,0.3575,0.0712,800,0.3575,0.0712,0.3221,0.1648,0.2181,,,/workspace/usr3/TriModal-Referring/ablation/exam1/outputs/language_anchors_only
language_anchors_only,scene3,800,800,786,536,0.6700,0.1812,800,0.6700,0.1812,0.6156,0.3510,0.4471,,,/workspace/usr3/TriModal-Referring/ablation/exam1/outputs/language_anchors_only
language_anchors_only,scene4_room1,200,200,200,195,0.9750,0.7050,200,0.9750,0.7050,0.8835,0.9010,0.8922,,,/workspace/usr3/TriModal-Referring/ablation/exam1/outputs/language_anchors_only
language_anchors_only,scene4_room2,200,200,199,198,0.9900,0.8650,200,0.9900,0.8650,0.9672,0.9340,0.9503,,,/workspace/usr3/TriModal-Referring/ablation/exam1/outputs/language_anchors_only
language_anchors_only,scene4_room3,200,200,200,199,0.9950,0.8550,200,0.9950,0.8550,0.9807,0.9318,0.9556,,,/workspace/usr3/TriModal-Referring/ablation/exam1/outputs/language_anchors_only
language_anchors_only,scene4_room4,200,200,198,197,0.9850,0.6950,200,0.9850,0.6950,0.8645,0.8819,0.8731,,,/workspace/usr3/TriModal-Referring/ablation/exam1/outputs/language_anchors_only
language_anchors_only,scene5,800,800,790,539,0.6737,0.1250,800,0.6737,0.1250,0.5284,0.4156,0.4653,,,/workspace/usr3/TriModal-Referring/ablation/exam1/outputs/language_anchors_only
language_anchors_only,ALL,4000,4000,3947,2570,0.6425,0.2622,4000,0.6425,0.2622,0.6021,0.4240,0.4976,-0.1373,-0.0422,/workspace/usr3/TriModal-Referring/ablation/exam1/outputs/language_anchors_only
no_gaze,scene1,800,800,798,503,0.6288,0.2525,800,0.6288,0.2525,0.5109,0.4247,0.4638,,,/workspace/usr3/TriModal-Referring/ablation/exam1/outputs/no_gaze
no_gaze,scene2,800,800,796,413,0.5162,0.0925,800,0.5162,0.0925,0.3174,0.2422,0.2747,,,/workspace/usr3/TriModal-Referring/ablation/exam1/outputs/no_gaze
no_gaze,scene3,800,800,798,596,0.7450,0.2263,800,0.7450,0.2263,0.5340,0.4212,0.4709,,,/workspace/usr3/TriModal-Referring/ablation/exam1/outputs/no_gaze
no_gaze,scene4_room1,200,200,200,195,0.9750,0.6250,200,0.9750,0.6250,0.8568,0.9035,0.8795,,,/workspace/usr3/TriModal-Referring/ablation/exam1/outputs/no_gaze
no_gaze,scene4_room2,200,200,200,197,0.9850,0.8800,200,0.9850,0.8800,0.9671,0.9314,0.9489,,,/workspace/usr3/TriModal-Referring/ablation/exam1/outputs/no_gaze
no_gaze,scene4_room3,200,200,199,198,0.9900,0.7300,200,0.9900,0.7300,0.9566,0.8688,0.9106,,,/workspace/usr3/TriModal-Referring/ablation/exam1/outputs/no_gaze
no_gaze,scene4_room4,200,200,200,194,0.9700,0.6150,200,0.9700,0.6150,0.8509,0.7889,0.8188,,,/workspace/usr3/TriModal-Referring/ablation/exam1/outputs/no_gaze
no_gaze,scene5,800,800,800,630,0.7875,0.1737,800,0.7875,0.1737,0.3982,0.5038,0.4448,,,/workspace/usr3/TriModal-Referring/ablation/exam1/outputs/no_gaze
no_gaze,ALL,4000,4000,3991,2926,0.7315,0.2915,4000,0.7315,0.2915,0.5205,0.4752,0.4968,-0.0483,-0.0430,/workspace/usr3/TriModal-Referring/ablation/exam1/outputs/no_gaze
no_gaze_hand,scene1,800,800,800,511,0.6388,0.2425,800,0.6388,0.2425,0.5075,0.4271,0.4639,,,/workspace/usr3/TriModal-Referring/ablation/exam1/outputs/no_gaze_hand
no_gaze_hand,scene2,800,800,793,408,0.5100,0.0875,800,0.5100,0.0875,0.3187,0.2412,0.2746,,,/workspace/usr3/TriModal-Referring/ablation/exam1/outputs/no_gaze_hand
no_gaze_hand,scene3,800,800,799,597,0.7462,0.2375,800,0.7462,0.2375,0.5356,0.4228,0.4726,,,/workspace/usr3/TriModal-Referring/ablation/exam1/outputs/no_gaze_hand
no_gaze_hand,scene4_room1,200,200,200,195,0.9750,0.6050,200,0.9750,0.6050,0.8578,0.8960,0.8765,,,/workspace/usr3/TriModal-Referring/ablation/exam1/outputs/no_gaze_hand
no_gaze_hand,scene4_room2,200,200,198,196,0.9800,0.8700,200,0.9800,0.8700,0.9778,0.9288,0.9526,,,/workspace/usr3/TriModal-Referring/ablation/exam1/outputs/no_gaze_hand
no_gaze_hand,scene4_room3,200,200,199,197,0.9850,0.7000,200,0.9850,0.7000,0.9613,0.8478,0.9010,,,/workspace/usr3/TriModal-Referring/ablation/exam1/outputs/no_gaze_hand
no_gaze_hand,scene4_room4,200,200,199,195,0.9750,0.6050,200,0.9750,0.6050,0.8583,0.7915,0.8235,,,/workspace/usr3/TriModal-Referring/ablation/exam1/outputs/no_gaze_hand
no_gaze_hand,scene5,800,800,797,616,0.7700,0.1688,800,0.7700,0.1688,0.3973,0.4927,0.4399,,,/workspace/usr3/TriModal-Referring/ablation/exam1/outputs/no_gaze_hand
