variant,scene,total_gt_rows,total_prediction_files,response_status_ok_count,match_count_overall,overall_accuracy,exact_match_accuracy_overall,evaluable_row_count,mapped_only_accuracy,exact_match_accuracy_evaluable_only,micro_precision,micro_recall,micro_f1,delta_overall_accuracy_vs_baseline,delta_micro_f1_vs_baseline,source
full_baseline,scene1,800,800,797,615,0.7688,0.3550,800,0.7688,0.3550,0.6291,0.5241,0.5718,,,/workspace/usr3/TriModal-Referring/data/match_eval_qwen3vl30b_mention_first_v3
full_baseline,scene2,800,800,787,440,0.5500,0.1025,800,0.5500,0.1025,0.3511,0.2624,0.3003,,,/workspace/usr3/TriModal-Referring/data/match_eval_qwen3vl30b_mention_first_v3
full_baseline,scene3,800,800,795,619,0.7738,0.2512,800,0.7738,0.2512,0.5628,0.4512,0.5009,,,/workspace/usr3/TriModal-Referring/data/match_eval_qwen3vl30b_mention_first_v3
full_baseline,scene4_room1,200,200,199,192,0.9600,0.6250,200,0.9600,0.6250,0.8528,0.9035,0.8774,,,/workspace/usr3/TriModal-Referring/data/match_eval_qwen3vl30b_mention_first_v3
full_baseline,scene4_room2,200,200,198,198,0.9900,0.8700,200,0.9900,0.8700,0.9541,0.9314,0.9426,,,/workspace/usr3/TriModal-Referring/data/match_eval_qwen3vl30b_mention_first_v3
full_baseline,scene4_room3,200,200,199,196,0.9800,0.7600,200,0.9800,0.7600,0.9626,0.8793,0.9191,,,/workspace/usr3/TriModal-Referring/data/match_eval_qwen3vl30b_mention_first_v3
full_baseline,scene4_room4,200,200,199,196,0.9800,0.6700,200,0.9800,0.6700,0.8665,0.8317,0.8487,,,/workspace/usr3/TriModal-Referring/data/match_eval_qwen3vl30b_mention_first_v3
full_baseline,scene5,800,800,796,663,0.8287,0.2037,800,0.8287,0.2037,0.4378,0.5544,0.4892,,,/workspace/usr3/TriModal-Referring/data/match_eval_qwen3vl30b_mention_first_v3
full_baseline,ALL,4000,4000,3970,3119,0.7798,0.3287,4000,0.7798,0.3287,0.5649,0.5169,0.5399,,,/workspace/usr3/TriModal-Referring/data/match_eval_qwen3vl30b_mention_first_v3
no_hand_strict,scene1,800,800,796,604,0.7550,0.3538,800,0.7550,0.3538,0.6200,0.5120,0.5609,,,/workspace/usr3/TriModal-Referring/ablation/exam1/outputs_strict_hand_v1_full/no_hand_strict
no_hand_strict,scene2,800,800,787,462,0.5775,0.1150,800,0.5775,0.1150,0.3800,0.2816,0.3235,,,/workspace/usr3/TriModal-Referring/ablation/exam1/outputs_strict_hand_v1_full/no_hand_strict
no_hand_strict,scene3,800,800,795,617,0.7712,0.2475,800,0.7712,0.2475,0.5771,0.4432,0.5014,,,/workspace/usr3/TriModal-Referring/ablation/exam1/outputs_strict_hand_v1_full/no_hand_strict
no_hand_strict,scene4_room1,200,200,199,193,0.9650,0.6450,200,0.9650,0.6450,0.8657,0.8936,0.8794,,,/workspace/usr3/TriModal-Referring/ablation/exam1/outputs_strict_hand_v1_full/no_hand_strict
no_hand_strict,scene4_room2,200,200,198,199,0.9950,0.8600,200,0.9950,0.8600,0.9672,0.9340,0.9503,,,/workspace/usr3/TriModal-Referring/ablation/exam1/outputs_strict_hand_v1_full/no_hand_strict
no_hand_strict,scene4_room3,200,200,200,199,0.9950,0.7150,200,0.9950,0.7150,0.9563,0.8609,0.9061,,,/workspace/usr3/TriModal-Referring/ablation/exam1/outputs_strict_hand_v1_full/no_hand_strict
no_hand_strict,scene4_room4,200,200,199,194,0.9700,0.6450,200,0.9700,0.6450,0.8634,0.7940,0.8272,,,/workspace/usr3/TriModal-Referring/ablation/exam1/outputs_strict_hand_v1_full/no_hand_strict
no_hand_strict,scene5,800,800,795,648,0.8100,0.2013,800,0.8100,0.2013,0.4404,0.5303,0.4812,,,/workspace/usr3/TriModal-Referring/ablation/exam1/outputs_strict_hand_v1_full/no_hand_strict
no_hand_strict,ALL,4000,4000,3969,3116,0.7790,0.3267,4000,0.7790,0.3267,0.5737,0.5100,0.5400,-0.0008,0.0001,/workspace/usr3/TriModal-Referring/ablation/exam1/outputs_strict_hand_v1_full/no_hand_strict
