experiment,model,checkpoint,input_protocol,prompt_strategy,output_schema,decoding,max_new_tokens,manifest,evaluator,run_status,source_path
experiment1,Qwen3-VL-30B-A3B,/workspace/usr3/Qwen3-VL-30B-A3B-Instruct,video; 16 frames,mention_first/full,JSON anchor ID set,greedy; do_sample=false,1536,scene-specific GT workbooks and anchor tables,scripts/eval/evaluate_local_3d_object_match.py,final,data/match_eval_qwen3vl30b_mention_first_v3
experiment1,Qwen3-VL-8B,Qwen3-VL-8B-Instruct,video; 8 frames,mention_first/full,JSON anchor ID set,greedy; do_sample=false,1536,scene-specific GT workbooks and anchor tables,scripts/eval/evaluate_local_3d_object_match.py,final,qwen8/outputs/exam1_qwen3vl8b_baseline/eval
experiment1,InternVL3-38B,/workspace/usr3/InternVL3-38B-Instruct,video; 16 frames,mention_first/full,JSON anchor ID set,greedy; do_sample=false,1536,scene-specific GT workbooks and anchor tables,scripts/eval/evaluate_local_3d_object_match.py,final,internvl/outputs/exam1_internvl3_38b_baseline/eval
experiment2,Qwen3-VL-30B-A3B,/workspace/usr3/Qwen3-VL-30B-A3B-Instruct,3 panels; paired crop; paired_canvas_map,expected_count,JSON panel IDs and normalized 2D points,greedy; do_sample=false,768,exam2/outputs_qwen3vl30b_2d_point_hybrid_v10/manifest/manifest_all.csv,exam2/evaluate_2d_point_grounding.py,final,exam2/outputs_qwen3vl30b_2d_point_hybrid_v10
experiment2,Qwen3-VL-8B,Qwen3-VL-8B-Instruct,3 panels; paired crop; paired_canvas_map,expected_count,JSON panel IDs and normalized 2D points,greedy; do_sample=false,768,qwen8/outputs/exam2_qwen3vl8b_baseline_2d_point_hybrid_v10/manifest/manifest_all.csv,exam2/evaluate_2d_point_grounding.py,final,qwen8/outputs/exam2_qwen3vl8b_baseline_2d_point_hybrid_v10
experiment2,InternVL3-38B,/workspace/usr3/InternVL3-38B-Instruct,3 panels; paired crop; paired_canvas_map,expected_count,JSON panel IDs and normalized 2D points,greedy; do_sample=false,768,internvl/outputs/exam2_internvl3_38b_baseline/manifest/manifest_all.csv,exam2/evaluate_2d_point_grounding.py,final,internvl/outputs/exam2_internvl3_38b_baseline
experiment3,Qwen3-VL-30B-A3B,/workspace/usr3/Qwen3-VL-30B-A3B-Instruct,up to 3 target-free evidence frames,measured point hypotheses v9,JSON points_3d coordinate triples,greedy; do_sample=false,512,exam3_point_grounding/outputs_full_v9_20260709/gt_manifest_eval.csv,exam3_point_grounding/evaluate_point_grounding.py,final,exam3_point_grounding/outputs_full_v9_20260709/qwen3vl30b
experiment3,Qwen3-VL-8B,Qwen3-VL-8B-Instruct,up to 3 target-free evidence frames,measured point hypotheses v9,JSON points_3d coordinate triples,greedy; do_sample=false,512,exam3_point_grounding/outputs_full_v9_20260709/gt_manifest_eval.csv,exam3_point_grounding/evaluate_point_grounding.py,final,qwen8/outputs/exam3_qwen3vl8b_point_grounding_merged_20260713/eval
experiment3,InternVL3-38B,/workspace/usr3/InternVL3-38B-Instruct,up to 2 target-free evidence frames,measured point hypotheses v9,JSON points_3d coordinate triples,greedy; do_sample=false,256,exam3_point_grounding/outputs_full_v9_20260709/gt_manifest_eval.csv,exam3_point_grounding/evaluate_point_grounding.py,final,internvl/outputs/exam3_internvl38b_point_grounding_merged_20260714/eval
experiment1,Qwen3-VL-8B,Qwen3-VL-8B-Instruct,egocentric video plus structured cues and candidate anchors,standard non-mention-first,single-candidate JSON protocol,legacy,512,"4,000 scene rows",scripts/eval/evaluate_local_3d_object_match.py,legacy,data/match_eval_qwen3vl8b
