model_name,experiment,ablation_variant,scene,row_index,unified_id,event_id,gt_anchor_ids,predicted_anchor_ids,gt_mapped,gt_unmapped_labels,valid_output,parse_status,invalid_reason,single_or_multi_target,tp,fp,fn,set_f1,exact,hit,evaluator_version_or_commit
Qwen3-VL-30B-A3B-Instruct,experiment1,no_hand_strict,scene1,56,scene1::56,scene1_57,"[""building6""]",[],True,[],False,incomplete,incomplete,single,0,0,1,0.0,False,False,git:9354f532c654931c89aafdf52a03ad7c526d1a5c;sha256:d0da7ca2f7437f94
Qwen3-VL-30B-A3B-Instruct,experiment1,no_hand_strict,scene1,351,scene1::351,scene1_352,"[""forklift1"",""building9""]",[],True,[],False,parsed_response_missing,parsed_response_missing,multi,0,0,2,0.0,False,False,git:9354f532c654931c89aafdf52a03ad7c526d1a5c;sha256:d0da7ca2f7437f94
Qwen3-VL-30B-A3B-Instruct,experiment1,no_hand_strict,scene1,372,scene1::372,scene1_373,"[""person3"",""cargo2"",""helicopter2""]",[],True,[],False,parsed_response_missing,parsed_response_missing,multi,0,0,3,0.0,False,False,git:9354f532c654931c89aafdf52a03ad7c526d1a5c;sha256:d0da7ca2f7437f94
Qwen3-VL-30B-A3B-Instruct,experiment1,no_hand_strict,scene1,678,scene1::678,scene1_679,"[""building4"",""truck2"",""forklift2""]",[],True,[],False,parsed_response_missing,parsed_response_missing,multi,0,0,3,0.0,False,False,git:9354f532c654931c89aafdf52a03ad7c526d1a5c;sha256:d0da7ca2f7437f94
Qwen3-VL-30B-A3B-Instruct,experiment1,no_hand_strict,scene2,55,scene2::55,scene2_56,"[""chair5""]",[],True,[],False,parsed_response_missing,parsed_response_missing,single,0,0,1,0.0,False,False,git:9354f532c654931c89aafdf52a03ad7c526d1a5c;sha256:d0da7ca2f7437f94
Qwen3-VL-30B-A3B-Instruct,experiment1,no_hand_strict,scene2,97,scene2::97,scene2_98,"[""chair1""]",[],True,[],False,parsed_response_missing,parsed_response_missing,single,0,0,1,0.0,False,False,git:9354f532c654931c89aafdf52a03ad7c526d1a5c;sha256:d0da7ca2f7437f94
Qwen3-VL-30B-A3B-Instruct,experiment1,no_hand_strict,scene2,108,scene2::108,scene2_109,"[""PC4""]",[],True,[],False,parsed_response_missing,parsed_response_missing,single,0,0,1,0.0,False,False,git:9354f532c654931c89aafdf52a03ad7c526d1a5c;sha256:d0da7ca2f7437f94
Qwen3-VL-30B-A3B-Instruct,experiment1,no_hand_strict,scene2,168,scene2::168,scene2_169,"[""file3"",""person2""]",[],True,[],False,parsed_response_missing,parsed_response_missing,multi,0,0,2,0.0,False,False,git:9354f532c654931c89aafdf52a03ad7c526d1a5c;sha256:d0da7ca2f7437f94
Qwen3-VL-30B-A3B-Instruct,experiment1,no_hand_strict,scene2,172,scene2::172,scene2_173,"[""chair4""]",[],True,[],False,parsed_response_missing,parsed_response_missing,single,0,0,1,0.0,False,False,git:9354f532c654931c89aafdf52a03ad7c526d1a5c;sha256:d0da7ca2f7437f94
Qwen3-VL-30B-A3B-Instruct,experiment1,no_hand_strict,scene2,181,scene2::181,scene2_182,"[""chair5""]",[],True,[],False,parsed_response_missing,parsed_response_missing,single,0,0,1,0.0,False,False,git:9354f532c654931c89aafdf52a03ad7c526d1a5c;sha256:d0da7ca2f7437f94
Qwen3-VL-30B-A3B-Instruct,experiment1,no_hand_strict,scene2,188,scene2::188,scene2_189,"[""chair6""]",[],True,[],False,parsed_response_missing,parsed_response_missing,single,0,0,1,0.0,False,False,git:9354f532c654931c89aafdf52a03ad7c526d1a5c;sha256:d0da7ca2f7437f94
Qwen3-VL-30B-A3B-Instruct,experiment1,no_hand_strict,scene2,281,scene2::281,scene2_282,"[""file4"",""desk8""]",[],True,[],False,parsed_response_missing,parsed_response_missing,multi,0,0,2,0.0,False,False,git:9354f532c654931c89aafdf52a03ad7c526d1a5c;sha256:d0da7ca2f7437f94
Qwen3-VL-30B-A3B-Instruct,experiment1,no_hand_strict,scene2,329,scene2::329,scene2_330,"[""PC4""]",[],True,[],False,parsed_response_missing,parsed_response_missing,single,0,0,1,0.0,False,False,git:9354f532c654931c89aafdf52a03ad7c526d1a5c;sha256:d0da7ca2f7437f94
Qwen3-VL-30B-A3B-Instruct,experiment1,no_hand_strict,scene2,334,scene2::334,scene2_335,"[""lamp3""]",[],True,[],False,parsed_response_missing,parsed_response_missing,single,0,0,1,0.0,False,False,git:9354f532c654931c89aafdf52a03ad7c526d1a5c;sha256:d0da7ca2f7437f94
Qwen3-VL-30B-A3B-Instruct,experiment1,no_hand_strict,scene2,370,scene2::370,scene2_371,"[""chair3"",""desk7""]",[],True,[],False,parsed_response_missing,parsed_response_missing,multi,0,0,2,0.0,False,False,git:9354f532c654931c89aafdf52a03ad7c526d1a5c;sha256:d0da7ca2f7437f94
Qwen3-VL-30B-A3B-Instruct,experiment1,no_hand_strict,scene2,384,scene2::384,scene2_385,"[""desk5""]",[],True,[],False,parsed_response_missing,parsed_response_missing,single,0,0,1,0.0,False,False,git:9354f532c654931c89aafdf52a03ad7c526d1a5c;sha256:d0da7ca2f7437f94
Qwen3-VL-30B-A3B-Instruct,experiment1,no_hand_strict,scene2,710,scene2::710,scene2_711,"[""PC5"",""chair7"",""door1""]",[],True,[],False,parsed_response_missing,parsed_response_missing,multi,0,0,3,0.0,False,False,git:9354f532c654931c89aafdf52a03ad7c526d1a5c;sha256:d0da7ca2f7437f94
Qwen3-VL-30B-A3B-Instruct,experiment1,no_hand_strict,scene3,123,scene3::123,scene3_124,"[""drone3""]",[],True,[],False,parsed_response_missing,parsed_response_missing,single,0,0,1,0.0,False,False,git:9354f532c654931c89aafdf52a03ad7c526d1a5c;sha256:d0da7ca2f7437f94
