unified_id,scene,row_index,experiment,reason,source_path
scene2::260,scene2,260,experiment1,GT label has no mapped scene anchor,data/match_eval_qwen3vl30b_mention_first_v3/*_match_eval.csv
scene2::265,scene2,265,experiment1,GT label has no mapped scene anchor,data/match_eval_qwen3vl30b_mention_first_v3/*_match_eval.csv
scene2::335,scene2,335,experiment1,GT label has no mapped scene anchor,data/match_eval_qwen3vl30b_mention_first_v3/*_match_eval.csv
scene2::361,scene2,361,experiment1,GT label has no mapped scene anchor,data/match_eval_qwen3vl30b_mention_first_v3/*_match_eval.csv
scene2::374,scene2,374,experiment1,GT label has no mapped scene anchor,data/match_eval_qwen3vl30b_mention_first_v3/*_match_eval.csv
scene2::498,scene2,498,experiment1,GT label has no mapped scene anchor,data/match_eval_qwen3vl30b_mention_first_v3/*_match_eval.csv
scene2::751,scene2,751,experiment1,GT label has no mapped scene anchor,data/match_eval_qwen3vl30b_mention_first_v3/*_match_eval.csv
scene2::792,scene2,792,experiment1,GT label has no mapped scene anchor,data/match_eval_qwen3vl30b_mention_first_v3/*_match_eval.csv
scene4_room1::15,scene4_room1,15,experiment1,GT label has no mapped scene anchor,data/match_eval_qwen3vl30b_mention_first_v3/*_match_eval.csv
scene4_room1::20,scene4_room1,20,experiment1,GT label has no mapped scene anchor,data/match_eval_qwen3vl30b_mention_first_v3/*_match_eval.csv
scene4_room1::33,scene4_room1,33,experiment1,GT label has no mapped scene anchor,data/match_eval_qwen3vl30b_mention_first_v3/*_match_eval.csv
scene4_room1::34,scene4_room1,34,experiment1,GT label has no mapped scene anchor,data/match_eval_qwen3vl30b_mention_first_v3/*_match_eval.csv
scene4_room1::37,scene4_room1,37,experiment1,GT label has no mapped scene anchor,data/match_eval_qwen3vl30b_mention_first_v3/*_match_eval.csv
scene4_room1::44,scene4_room1,44,experiment1,GT label has no mapped scene anchor,data/match_eval_qwen3vl30b_mention_first_v3/*_match_eval.csv
scene4_room1::45,scene4_room1,45,experiment1,GT label has no mapped scene anchor,data/match_eval_qwen3vl30b_mention_first_v3/*_match_eval.csv
scene4_room1::64,scene4_room1,64,experiment1,GT label has no mapped scene anchor,data/match_eval_qwen3vl30b_mention_first_v3/*_match_eval.csv
scene4_room1::70,scene4_room1,70,experiment1,GT label has no mapped scene anchor,data/match_eval_qwen3vl30b_mention_first_v3/*_match_eval.csv
scene4_room1::76,scene4_room1,76,experiment1,GT label has no mapped scene anchor,data/match_eval_qwen3vl30b_mention_first_v3/*_match_eval.csv
scene4_room1::94,scene4_room1,94,experiment1,GT label has no mapped scene anchor,data/match_eval_qwen3vl30b_mention_first_v3/*_match_eval.csv
scene4_room1::99,scene4_room1,99,experiment1,GT label has no mapped scene anchor,data/match_eval_qwen3vl30b_mention_first_v3/*_match_eval.csv
scene4_room1::130,scene4_room1,130,experiment1,GT label has no mapped scene anchor,data/match_eval_qwen3vl30b_mention_first_v3/*_match_eval.csv
scene4_room1::138,scene4_room1,138,experiment1,GT label has no mapped scene anchor,data/match_eval_qwen3vl30b_mention_first_v3/*_match_eval.csv
scene4_room3::19,scene4_room3,19,experiment1,GT label has no mapped scene anchor,data/match_eval_qwen3vl30b_mention_first_v3/*_match_eval.csv
scene4_room4::61,scene4_room4,61,experiment1,GT label has no mapped scene anchor,data/match_eval_qwen3vl30b_mention_first_v3/*_match_eval.csv
scene5::9,scene5,9,experiment1,GT label has no mapped scene anchor,data/match_eval_qwen3vl30b_mention_first_v3/*_match_eval.csv
scene5::35,scene5,35,experiment1,GT label has no mapped scene anchor,data/match_eval_qwen3vl30b_mention_first_v3/*_match_eval.csv
scene5::58,scene5,58,experiment1,GT label has no mapped scene anchor,data/match_eval_qwen3vl30b_mention_first_v3/*_match_eval.csv
scene5::131,scene5,131,experiment1,GT label has no mapped scene anchor,data/match_eval_qwen3vl30b_mention_first_v3/*_match_eval.csv
