experiment,model,unified_id,scene,row_index,parse_status,invalid_reason
experiment1,Qwen3-VL-30B-A3B,scene1::365,scene1,365,parsed_response_missing,parsed_response_missing
experiment1,Qwen3-VL-30B-A3B,scene1::463,scene1,463,parsed_response_missing,parsed_response_missing
experiment1,Qwen3-VL-30B-A3B,scene1::709,scene1,709,parsed_response_missing,parsed_response_missing
experiment1,Qwen3-VL-30B-A3B,scene2::94,scene2,94,parsed_response_missing,parsed_response_missing
experiment1,Qwen3-VL-30B-A3B,scene2::100,scene2,100,parsed_response_missing,parsed_response_missing
experiment1,Qwen3-VL-30B-A3B,scene2::117,scene2,117,parsed_response_missing,parsed_response_missing
experiment1,Qwen3-VL-30B-A3B,scene2::154,scene2,154,parsed_response_missing,parsed_response_missing
experiment1,Qwen3-VL-30B-A3B,scene2::243,scene2,243,parsed_response_missing,parsed_response_missing
experiment1,Qwen3-VL-30B-A3B,scene2::248,scene2,248,parsed_response_missing,parsed_response_missing
experiment1,Qwen3-VL-30B-A3B,scene2::281,scene2,281,parsed_response_missing,parsed_response_missing
experiment1,Qwen3-VL-30B-A3B,scene2::395,scene2,395,parsed_response_missing,parsed_response_missing
experiment1,Qwen3-VL-30B-A3B,scene2::431,scene2,431,parsed_response_missing,parsed_response_missing
experiment1,Qwen3-VL-30B-A3B,scene2::490,scene2,490,parsed_response_missing,parsed_response_missing
experiment1,Qwen3-VL-30B-A3B,scene2::531,scene2,531,parsed_response_missing,parsed_response_missing
experiment1,Qwen3-VL-30B-A3B,scene2::710,scene2,710,parsed_response_missing,parsed_response_missing
experiment1,Qwen3-VL-30B-A3B,scene2::798,scene2,798,parsed_response_missing,parsed_response_missing
experiment1,Qwen3-VL-30B-A3B,scene3::140,scene3,140,parsed_response_missing,parsed_response_missing
experiment1,Qwen3-VL-30B-A3B,scene3::367,scene3,367,parsed_response_missing,parsed_response_missing
experiment1,Qwen3-VL-30B-A3B,scene3::653,scene3,653,parsed_response_missing,parsed_response_missing
experiment1,Qwen3-VL-30B-A3B,scene3::657,scene3,657,parsed_response_missing,parsed_response_missing
experiment1,Qwen3-VL-30B-A3B,scene3::746,scene3,746,parsed_response_missing,parsed_response_missing
experiment1,Qwen3-VL-30B-A3B,scene4_room1::178,scene4_room1,178,partial_invalid_object_name,partial_invalid_object_name
experiment1,Qwen3-VL-30B-A3B,scene4_room2::73,scene4_room2,73,parsed_response_missing,parsed_response_missing
experiment1,Qwen3-VL-30B-A3B,scene4_room2::155,scene4_room2,155,partial_invalid_object_name,partial_invalid_object_name
experiment1,Qwen3-VL-30B-A3B,scene4_room3::199,scene4_room3,199,partial_invalid_object_name,partial_invalid_object_name
experiment1,Qwen3-VL-30B-A3B,scene4_room4::168,scene4_room4,168,partial_invalid_object_name,partial_invalid_object_name
experiment1,Qwen3-VL-30B-A3B,scene5::13,scene5,13,parsed_response_missing,parsed_response_missing
experiment1,Qwen3-VL-30B-A3B,scene5::55,scene5,55,parsed_response_missing,parsed_response_missing
experiment1,Qwen3-VL-30B-A3B,scene5::102,scene5,102,partial_invalid_object_name,partial_invalid_object_name
experiment1,Qwen3-VL-30B-A3B,scene5::296,scene5,296,parsed_response_missing,parsed_response_missing
experiment1,Qwen3-VL-8B,scene1::81,scene1,81,incomplete,incomplete
experiment1,Qwen3-VL-8B,scene1::102,scene1,102,incomplete,incomplete
experiment1,Qwen3-VL-8B,scene1::125,scene1,125,incomplete,incomplete
experiment1,Qwen3-VL-8B,scene1::160,scene1,160,parsed_response_missing,parsed_response_missing
experiment1,Qwen3-VL-8B,scene1::170,scene1,170,incomplete,incomplete
experiment1,Qwen3-VL-8B,scene1::180,scene1,180,incomplete,incomplete
experiment1,Qwen3-VL-8B,scene1::200,scene1,200,incomplete,incomplete
experiment1,Qwen3-VL-8B,scene1::262,scene1,262,incomplete,incomplete
experiment1,Qwen3-VL-8B,scene1::302,scene1,302,parsed_response_missing,parsed_response_missing
experiment1,Qwen3-VL-8B,scene1::303,scene1,303,incomplete,incomplete
experiment1,Qwen3-VL-8B,scene1::352,scene1,352,incomplete,incomplete
experiment1,Qwen3-VL-8B,scene1::365,scene1,365,incomplete,incomplete
experiment1,Qwen3-VL-8B,scene1::369,scene1,369,incomplete,incomplete
experiment1,Qwen3-VL-8B,scene1::455,scene1,455,incomplete,incomplete
experiment1,Qwen3-VL-8B,scene1::461,scene1,461,incomplete,incomplete
experiment1,Qwen3-VL-8B,scene1::465,scene1,465,parsed_response_missing,parsed_response_missing
experiment1,Qwen3-VL-8B,scene1::467,scene1,467,incomplete,incomplete
experiment1,Qwen3-VL-8B,scene1::499,scene1,499,incomplete,incomplete
experiment1,Qwen3-VL-8B,scene1::511,scene1,511,incomplete,incomplete
experiment1,Qwen3-VL-8B,scene1::520,scene1,520,parsed_response_missing,parsed_response_missing
