setting,variant,model,checkpoint,sample_count,sample_id_source,modalities_provided,visual_input_description,prompt_file,candidate_source,panel_or_frame_source,generation_config,parser_file,normalization_file,evaluation_script,output_dir,summary_file,detail_file,completed,strict_modality_ablation,ablation_category,differences_from_full,notes
anchor_selection,full_baseline,Qwen3-VL-30B-A3B-Instruct,/workspace/usr3/Qwen3-VL-30B-A3B-Instruct (revision/hash UNKNOWN),4000,scene + row_index from per-scene *_match_eval.csv (event_id alone is not globally unique),"language, video, structured gaze, structured hand, camera/world geometry, candidate anchors","Original event video, up to 16 frames",scripts/grounding/run_qwen3vl_plus_api_single_event_3d.py,data/{scene}_anchor_table.tsv,/workspace/usr3/V3dMD event videos,dtype=bfloat16; max_video_frames=16; max_new_tokens=1536; do_sample=False; max_evidence_segments=0,scripts/grounding/run_qwen3vl_local_single_event_3d.py,scripts/eval/evaluate_local_3d_object_match.py (baseline) / ablation copy (variants; functional full-run difference only summary_scope option),scripts/eval/evaluate_local_3d_object_match.py,/workspace/usr3/TriModal-Referring/data/match_eval_qwen3vl30b_mention_first_v3,/workspace/usr3/TriModal-Referring/data/match_eval_qwen3vl30b_mention_first_v3/scene1_match_eval_summary.json;/workspace/usr3/TriModal-Referring/data/match_eval_qwen3vl30b_mention_first_v3/scene2_match_eval_summary.json;/workspace/usr3/TriModal-Referring/data/match_eval_qwen3vl30b_mention_first_v3/scene3_match_eval_summary.json;/workspace/usr3/TriModal-Referring/data/match_eval_qwen3vl30b_mention_first_v3/scene4_room1_match_eval_summary.json;/workspace/usr3/TriModal-Referring/data/match_eval_qwen3vl30b_mention_first_v3/scene4_room2_match_eval_summary.json;/workspace/usr3/TriModal-Referring/data/match_eval_qwen3vl30b_mention_first_v3/scene4_room3_match_eval_summary.json;/workspace/usr3/TriModal-Referring/data/match_eval_qwen3vl30b_mention_first_v3/scene4_room4_match_eval_summary.json;/workspace/usr3/TriModal-Referring/data/match_eval_qwen3vl30b_mention_first_v3/scene5_match_eval_summary.json,/workspace/usr3/TriModal-Referring/data/match_eval_qwen3vl30b_mention_first_v3/scene1_match_eval.csv;/workspace/usr3/TriModal-Referring/data/match_eval_qwen3vl30b_mention_first_v3/scene2_match_eval.csv;/workspace/usr3/TriModal-Referring/data/match_eval_qwen3vl30b_mention_first_v3/scene3_match_eval.csv;/workspace/usr3/TriModal-Referring/data/match_eval_qwen3vl30b_mention_first_v3/scene4_room1_match_eval.csv;/workspace/usr3/TriModal-Referring/data/match_eval_qwen3vl30b_mention_first_v3/scene4_room2_match_eval.csv;/workspace/usr3/TriModal-Referring/data/match_eval_qwen3vl30b_mention_first_v3/scene4_room3_match_eval.csv;/workspace/usr3/TriModal-Referring/data/match_eval_qwen3vl30b_mention_first_v3/scene4_room4_match_eval.csv;/workspace/usr3/TriModal-Referring/data/match_eval_qwen3vl30b_mention_first_v3/scene5_match_eval.csv,true,false,full_baseline,Reference condition.,Sample-level predictions retained. Baseline launch configuration corroborated by scripts/grounding/run_qwen3vl_30b_mention_first_all_scenes_full.sh and its full log.
anchor_selection,language_anchors_only,Qwen3-VL-30B-A3B-Instruct,/workspace/usr3/Qwen3-VL-30B-A3B-Instruct (revision/hash UNKNOWN),4000,scene + row_index from per-scene *_match_eval.csv (event_id alone is not globally unique),"language, candidate anchors",One blank 64x64 RGB placeholder,ablation/exam1/scripts/grounding/run_qwen3vl_plus_api_single_event_3d.py,data/{scene}_anchor_table.tsv,Generated blank placeholder,dtype=bfloat16; max_video_frames=16; max_new_tokens=1536; do_sample=False; max_evidence_segments=0,ablation/exam1/scripts/grounding/run_qwen3vl_local_single_event_3d.py,scripts/eval/evaluate_local_3d_object_match.py (baseline) / ablation copy (variants; functional full-run difference only summary_scope option),ablation/exam1/scripts/eval/evaluate_local_3d_object_match.py,/workspace/usr3/TriModal-Referring/ablation/exam1/outputs/language_anchors_only,/workspace/usr3/TriModal-Referring/ablation/exam1/outputs/language_anchors_only/eval/scene1_match_eval_summary.json;/workspace/usr3/TriModal-Referring/ablation/exam1/outputs/language_anchors_only/eval/scene2_match_eval_summary.json;/workspace/usr3/TriModal-Referring/ablation/exam1/outputs/language_anchors_only/eval/scene3_match_eval_summary.json;/workspace/usr3/TriModal-Referring/ablation/exam1/outputs/language_anchors_only/eval/scene4_room1_match_eval_summary.json;/workspace/usr3/TriModal-Referring/ablation/exam1/outputs/language_anchors_only/eval/scene4_room2_match_eval_summary.json;/workspace/usr3/TriModal-Referring/ablation/exam1/outputs/language_anchors_only/eval/scene4_room3_match_eval_summary.json;/workspace/usr3/TriModal-Referring/ablation/exam1/outputs/language_anchors_only/eval/scene4_room4_match_eval_summary.json;/workspace/usr3/TriModal-Referring/ablation/exam1/outputs/language_anchors_only/eval/scene5_match_eval_summary.json,/workspace/usr3/TriModal-Referring/ablation/exam1/outputs/language_anchors_only/eval/scene1_match_eval.csv;/workspace/usr3/TriModal-Referring/ablation/exam1/outputs/language_anchors_only/eval/scene2_match_eval.csv;/workspace/usr3/TriModal-Referring/ablation/exam1/outputs/language_anchors_only/eval/scene3_match_eval.csv;/workspace/usr3/TriModal-Referring/ablation/exam1/outputs/language_anchors_only/eval/scene4_room1_match_eval.csv;/workspace/usr3/TriModal-Referring/ablation/exam1/outputs/language_anchors_only/eval/scene4_room2_match_eval.csv;/workspace/usr3/TriModal-Referring/ablation/exam1/outputs/language_anchors_only/eval/scene4_room3_match_eval.csv;/workspace/usr3/TriModal-Referring/ablation/exam1/outputs/language_anchors_only/eval/scene4_room4_match_eval.csv;/workspace/usr3/TriModal-Referring/ablation/exam1/outputs/language_anchors_only/eval/scene5_match_eval.csv,true,false,multimodal_input_baseline,"Simultaneously removes visual, gaze, hand, structured geometry, and timeline evidence while retaining the closed-set candidate inventory.",Sample-level predictions retained. Baseline launch configuration corroborated by scripts/grounding/run_qwen3vl_30b_mention_first_all_scenes_full.sh and its full log.
anchor_selection,no_gaze,Qwen3-VL-30B-A3B-Instruct,/workspace/usr3/Qwen3-VL-30B-A3B-Instruct (revision/hash UNKNOWN),4000,scene + row_index from per-scene *_match_eval.csv (event_id alone is not globally unique),"language, video (may contain gaze marker), structured hand, camera/world geometry, candidate anchors","Original event video, up to 16 frames",ablation/exam1/scripts/grounding/run_qwen3vl_plus_api_single_event_3d.py,data/{scene}_anchor_table.tsv,/workspace/usr3/V3dMD event videos,dtype=bfloat16; max_video_frames=16; max_new_tokens=1536; do_sample=False; max_evidence_segments=0,ablation/exam1/scripts/grounding/run_qwen3vl_local_single_event_3d.py,scripts/eval/evaluate_local_3d_object_match.py (baseline) / ablation copy (variants; functional full-run difference only summary_scope option),ablation/exam1/scripts/eval/evaluate_local_3d_object_match.py,/workspace/usr3/TriModal-Referring/ablation/exam1/outputs/no_gaze,/workspace/usr3/TriModal-Referring/ablation/exam1/outputs/no_gaze/eval/scene1_match_eval_summary.json;/workspace/usr3/TriModal-Referring/ablation/exam1/outputs/no_gaze/eval/scene2_match_eval_summary.json;/workspace/usr3/TriModal-Referring/ablation/exam1/outputs/no_gaze/eval/scene3_match_eval_summary.json;/workspace/usr3/TriModal-Referring/ablation/exam1/outputs/no_gaze/eval/scene4_room1_match_eval_summary.json;/workspace/usr3/TriModal-Referring/ablation/exam1/outputs/no_gaze/eval/scene4_room2_match_eval_summary.json;/workspace/usr3/TriModal-Referring/ablation/exam1/outputs/no_gaze/eval/scene4_room3_match_eval_summary.json;/workspace/usr3/TriModal-Referring/ablation/exam1/outputs/no_gaze/eval/scene4_room4_match_eval_summary.json;/workspace/usr3/TriModal-Referring/ablation/exam1/outputs/no_gaze/eval/scene5_match_eval_summary.json,/workspace/usr3/TriModal-Referring/ablation/exam1/outputs/no_gaze/eval/scene1_match_eval.csv;/workspace/usr3/TriModal-Referring/ablation/exam1/outputs/no_gaze/eval/scene2_match_eval.csv;/workspace/usr3/TriModal-Referring/ablation/exam1/outputs/no_gaze/eval/scene3_match_eval.csv;/workspace/usr3/TriModal-Referring/ablation/exam1/outputs/no_gaze/eval/scene4_room1_match_eval.csv;/workspace/usr3/TriModal-Referring/ablation/exam1/outputs/no_gaze/eval/scene4_room2_match_eval.csv;/workspace/usr3/TriModal-Referring/ablation/exam1/outputs/no_gaze/eval/scene4_room3_match_eval.csv;/workspace/usr3/TriModal-Referring/ablation/exam1/outputs/no_gaze/eval/scene4_room4_match_eval.csv;/workspace/usr3/TriModal-Referring/ablation/exam1/outputs/no_gaze/eval/scene5_match_eval.csv,true,false,hybrid_ablation,"Structured gaze fields and gaze-derived proposals removed, but the original video can retain the visible green gaze marker; this is a structured-gaze-cue ablation, not complete gaze-modality removal.",Sample-level predictions retained. Baseline launch configuration corroborated by scripts/grounding/run_qwen3vl_30b_mention_first_all_scenes_full.sh and its full log.
anchor_selection,no_hand,Qwen3-VL-30B-A3B-Instruct,/workspace/usr3/Qwen3-VL-30B-A3B-Instruct (revision/hash UNKNOWN),4000,scene + row_index from per-scene *_match_eval.csv (event_id alone is not globally unique),"language, video (visible hands remain), structured gaze, camera/world geometry, candidate anchors","Original event video, up to 16 frames",ablation/exam1/scripts/grounding/run_qwen3vl_plus_api_single_event_3d.py,data/{scene}_anchor_table.tsv,/workspace/usr3/V3dMD event videos,dtype=bfloat16; max_video_frames=16; max_new_tokens=1536; do_sample=False; max_evidence_segments=0,ablation/exam1/scripts/grounding/run_qwen3vl_local_single_event_3d.py,scripts/eval/evaluate_local_3d_object_match.py (baseline) / ablation copy (variants; functional full-run difference only summary_scope option),ablation/exam1/scripts/eval/evaluate_local_3d_object_match.py,/workspace/usr3/TriModal-Referring/ablation/exam1/outputs/no_hand,/workspace/usr3/TriModal-Referring/ablation/exam1/outputs/no_hand/eval/scene1_match_eval_summary.json;/workspace/usr3/TriModal-Referring/ablation/exam1/outputs/no_hand/eval/scene2_match_eval_summary.json;/workspace/usr3/TriModal-Referring/ablation/exam1/outputs/no_hand/eval/scene3_match_eval_summary.json;/workspace/usr3/TriModal-Referring/ablation/exam1/outputs/no_hand/eval/scene4_room1_match_eval_summary.json;/workspace/usr3/TriModal-Referring/ablation/exam1/outputs/no_hand/eval/scene4_room2_match_eval_summary.json;/workspace/usr3/TriModal-Referring/ablation/exam1/outputs/no_hand/eval/scene4_room3_match_eval_summary.json;/workspace/usr3/TriModal-Referring/ablation/exam1/outputs/no_hand/eval/scene4_room4_match_eval_summary.json;/workspace/usr3/TriModal-Referring/ablation/exam1/outputs/no_hand/eval/scene5_match_eval_summary.json,/workspace/usr3/TriModal-Referring/ablation/exam1/outputs/no_hand/eval/scene1_match_eval.csv;/workspace/usr3/TriModal-Referring/ablation/exam1/outputs/no_hand/eval/scene2_match_eval.csv;/workspace/usr3/TriModal-Referring/ablation/exam1/outputs/no_hand/eval/scene3_match_eval.csv;/workspace/usr3/TriModal-Referring/ablation/exam1/outputs/no_hand/eval/scene4_room1_match_eval.csv;/workspace/usr3/TriModal-Referring/ablation/exam1/outputs/no_hand/eval/scene4_room2_match_eval.csv;/workspace/usr3/TriModal-Referring/ablation/exam1/outputs/no_hand/eval/scene4_room3_match_eval.csv;/workspace/usr3/TriModal-Referring/ablation/exam1/outputs/no_hand/eval/scene4_room4_match_eval.csv;/workspace/usr3/TriModal-Referring/ablation/exam1/outputs/no_hand/eval/scene5_match_eval.csv,true,false,hybrid_ablation,"Structured hand summary and hand/ray fields removed, but visible hands/gestures remain in the video; this is a structured-hand-cue ablation, not complete hand-modality removal.",Sample-level predictions retained. Baseline launch configuration corroborated by scripts/grounding/run_qwen3vl_30b_mention_first_all_scenes_full.sh and its full log.
anchor_selection,no_visual,Qwen3-VL-30B-A3B-Instruct,/workspace/usr3/Qwen3-VL-30B-A3B-Instruct (revision/hash UNKNOWN),4000,scene + row_index from per-scene *_match_eval.csv (event_id alone is not globally unique),"language, structured gaze, structured hand, camera/world geometry, candidate anchors",One blank 64x64 RGB placeholder,ablation/exam1/scripts/grounding/run_qwen3vl_plus_api_single_event_3d.py,data/{scene}_anchor_table.tsv,Generated blank placeholder,dtype=bfloat16; max_video_frames=16; max_new_tokens=1536; do_sample=False; max_evidence_segments=0,ablation/exam1/scripts/grounding/run_qwen3vl_local_single_event_3d.py,scripts/eval/evaluate_local_3d_object_match.py (baseline) / ablation copy (variants; functional full-run difference only summary_scope option),ablation/exam1/scripts/eval/evaluate_local_3d_object_match.py,/workspace/usr3/TriModal-Referring/ablation/exam1/outputs/no_visual,/workspace/usr3/TriModal-Referring/ablation/exam1/outputs/no_visual/eval/scene1_match_eval_summary.json;/workspace/usr3/TriModal-Referring/ablation/exam1/outputs/no_visual/eval/scene2_match_eval_summary.json;/workspace/usr3/TriModal-Referring/ablation/exam1/outputs/no_visual/eval/scene3_match_eval_summary.json;/workspace/usr3/TriModal-Referring/ablation/exam1/outputs/no_visual/eval/scene4_room1_match_eval_summary.json;/workspace/usr3/TriModal-Referring/ablation/exam1/outputs/no_visual/eval/scene4_room2_match_eval_summary.json;/workspace/usr3/TriModal-Referring/ablation/exam1/outputs/no_visual/eval/scene4_room3_match_eval_summary.json;/workspace/usr3/TriModal-Referring/ablation/exam1/outputs/no_visual/eval/scene4_room4_match_eval_summary.json;/workspace/usr3/TriModal-Referring/ablation/exam1/outputs/no_visual/eval/scene5_match_eval_summary.json,/workspace/usr3/TriModal-Referring/ablation/exam1/outputs/no_visual/eval/scene1_match_eval.csv;/workspace/usr3/TriModal-Referring/ablation/exam1/outputs/no_visual/eval/scene2_match_eval.csv;/workspace/usr3/TriModal-Referring/ablation/exam1/outputs/no_visual/eval/scene3_match_eval.csv;/workspace/usr3/TriModal-Referring/ablation/exam1/outputs/no_visual/eval/scene4_room1_match_eval.csv;/workspace/usr3/TriModal-Referring/ablation/exam1/outputs/no_visual/eval/scene4_room2_match_eval.csv;/workspace/usr3/TriModal-Referring/ablation/exam1/outputs/no_visual/eval/scene4_room3_match_eval.csv;/workspace/usr3/TriModal-Referring/ablation/exam1/outputs/no_visual/eval/scene4_room4_match_eval.csv;/workspace/usr3/TriModal-Referring/ablation/exam1/outputs/no_visual/eval/scene5_match_eval.csv,true,false,hybrid_ablation,"Visual evidence is removed, but video input is replaced by one 64x64 placeholder image and ablation-specific prompt text is added; input type/count/geometry therefore differ from full.",Sample-level predictions retained. Baseline launch configuration corroborated by scripts/grounding/run_qwen3vl_30b_mention_first_all_scenes_full.sh and its full log.
anchor_selection,no_gaze_hand,Qwen3-VL-30B-A3B-Instruct,/workspace/usr3/Qwen3-VL-30B-A3B-Instruct (revision/hash UNKNOWN),4000,scene + row_index from per-scene *_match_eval.csv (event_id alone is not globally unique),"language, video (visible gaze marker/hands may remain), camera/world geometry, candidate anchors","Original event video, up to 16 frames",ablation/exam1/scripts/grounding/run_qwen3vl_plus_api_single_event_3d.py,data/{scene}_anchor_table.tsv,/workspace/usr3/V3dMD event videos,dtype=bfloat16; max_video_frames=16; max_new_tokens=1536; do_sample=False; max_evidence_segments=0,ablation/exam1/scripts/grounding/run_qwen3vl_local_single_event_3d.py,scripts/eval/evaluate_local_3d_object_match.py (baseline) / ablation copy (variants; functional full-run difference only summary_scope option),ablation/exam1/scripts/eval/evaluate_local_3d_object_match.py,/workspace/usr3/TriModal-Referring/ablation/exam1/outputs/no_gaze_hand,/workspace/usr3/TriModal-Referring/ablation/exam1/outputs/no_gaze_hand/eval/scene1_match_eval_summary.json;/workspace/usr3/TriModal-Referring/ablation/exam1/outputs/no_gaze_hand/eval/scene2_match_eval_summary.json;/workspace/usr3/TriModal-Referring/ablation/exam1/outputs/no_gaze_hand/eval/scene3_match_eval_summary.json;/workspace/usr3/TriModal-Referring/ablation/exam1/outputs/no_gaze_hand/eval/scene4_room1_match_eval_summary.json;/workspace/usr3/TriModal-Referring/ablation/exam1/outputs/no_gaze_hand/eval/scene4_room2_match_eval_summary.json;/workspace/usr3/TriModal-Referring/ablation/exam1/outputs/no_gaze_hand/eval/scene4_room3_match_eval_summary.json;/workspace/usr3/TriModal-Referring/ablation/exam1/outputs/no_gaze_hand/eval/scene4_room4_match_eval_summary.json;/workspace/usr3/TriModal-Referring/ablation/exam1/outputs/no_gaze_hand/eval/scene5_match_eval_summary.json,/workspace/usr3/TriModal-Referring/ablation/exam1/outputs/no_gaze_hand/eval/scene1_match_eval.csv;/workspace/usr3/TriModal-Referring/ablation/exam1/outputs/no_gaze_hand/eval/scene2_match_eval.csv;/workspace/usr3/TriModal-Referring/ablation/exam1/outputs/no_gaze_hand/eval/scene3_match_eval.csv;/workspace/usr3/TriModal-Referring/ablation/exam1/outputs/no_gaze_hand/eval/scene4_room1_match_eval.csv;/workspace/usr3/TriModal-Referring/ablation/exam1/outputs/no_gaze_hand/eval/scene4_room2_match_eval.csv;/workspace/usr3/TriModal-Referring/ablation/exam1/outputs/no_gaze_hand/eval/scene4_room3_match_eval.csv;/workspace/usr3/TriModal-Referring/ablation/exam1/outputs/no_gaze_hand/eval/scene4_room4_match_eval.csv;/workspace/usr3/TriModal-Referring/ablation/exam1/outputs/no_gaze_hand/eval/scene5_match_eval.csv,true,false,hybrid_ablation,Removes two structured cue families simultaneously; visible gaze marker and hands can remain in video.,Sample-level predictions retained. Baseline launch configuration corroborated by scripts/grounding/run_qwen3vl_30b_mention_first_all_scenes_full.sh and its full log.
projected_2d,full_baseline,Qwen3-VL-30B-A3B-Instruct,/workspace/usr3/Qwen3-VL-30B-A3B-Instruct (revision/hash UNKNOWN),4000,shared manifest scene+row_index/event_id,"language, full panels, gaze-centered crops, visible gaze marker, gaze-specific prompt prior","Three paired images, each LEFT=full panel and RIGHT=gaze-centered crop",exam2/run_qwen3vl_2d_point_grounding.py,N/A (open 2D point output; GT anchor projections evaluator-only),exam2/outputs_qwen3vl30b_2d_point_hybrid_v10/manifest/manifest_all.csv,max_new_tokens=768; do_sample=False; input_mode=multi_image; 3 panels,exam2/run_qwen3vl_2d_point_grounding.py,same parser file; paired_canvas mapping only for paired_crop inputs,exam2/evaluate_2d_point_grounding.py --coordinate_mode panel,/workspace/usr3/TriModal-Referring/exam2/outputs_qwen3vl30b_2d_point_hybrid_v10,/workspace/usr3/TriModal-Referring/exam2/outputs_qwen3vl30b_2d_point_hybrid_v10/eval/2d_eval_summary.json,/workspace/usr3/TriModal-Referring/exam2/outputs_qwen3vl30b_2d_point_hybrid_v10/eval/2d_eval_detail.csv,true,false,full_baseline,Reference condition.,3971 prediction records are preserved; 29 manifest events without a prediction remain in the 4000-event evaluation denominator.
projected_2d,full_panels_no_crop,Qwen3-VL-30B-A3B-Instruct,/workspace/usr3/Qwen3-VL-30B-A3B-Instruct (revision/hash UNKNOWN),4000,shared manifest scene+row_index/event_id,"language, full panels, visible gaze marker, gaze-specific prompt prior",Three full panels without crops,ablation/exam2/scripts/run_qwen3vl_2d_point_grounding.py,N/A (open 2D point output; GT anchor projections evaluator-only),exam2/outputs_qwen3vl30b_2d_point_hybrid_v10/manifest/manifest_all.csv,max_new_tokens=768; do_sample=False; input_mode=multi_image; 3 panels,ablation/exam2/scripts/run_qwen3vl_2d_point_grounding.py,same parser file; paired_canvas mapping only for paired_crop inputs,exam2/evaluate_2d_point_grounding.py --coordinate_mode panel,/workspace/usr3/TriModal-Referring/ablation/exam2/outputs/full_panels_no_crop,/workspace/usr3/TriModal-Referring/ablation/exam2/outputs/full_panels_no_crop/eval/2d_eval_summary.json,/workspace/usr3/TriModal-Referring/ablation/exam2/outputs/full_panels_no_crop/eval/2d_eval_detail.csv,true,false,preprocessing_ablation,Changes paired full-panel plus gaze-crop inputs to full panels only.,3971 prediction records are preserved; 29 manifest events without a prediction remain in the 4000-event evaluation denominator.
projected_2d,instruction_only_prompt,Qwen3-VL-30B-A3B-Instruct,/workspace/usr3/Qwen3-VL-30B-A3B-Instruct (revision/hash UNKNOWN),4000,shared manifest scene+row_index/event_id,"language, full panels, gaze-centered crops, visible gaze marker; expected-count prior removed","Three paired images, each LEFT=full panel and RIGHT=gaze-centered crop",ablation/exam2/scripts/run_qwen3vl_2d_point_grounding.py,N/A (open 2D point output; GT anchor projections evaluator-only),exam2/outputs_qwen3vl30b_2d_point_hybrid_v10/manifest/manifest_all.csv,max_new_tokens=768; do_sample=False; input_mode=multi_image; 3 panels,ablation/exam2/scripts/run_qwen3vl_2d_point_grounding.py,same parser file; paired_canvas mapping only for paired_crop inputs,exam2/evaluate_2d_point_grounding.py --coordinate_mode panel,/workspace/usr3/TriModal-Referring/ablation/exam2/outputs/instruction_only_prompt,/workspace/usr3/TriModal-Referring/ablation/exam2/outputs/instruction_only_prompt/eval/2d_eval_summary.json,/workspace/usr3/TriModal-Referring/ablation/exam2/outputs/instruction_only_prompt/eval/2d_eval_detail.csv,true,false,prompt_ablation,Keeps paired visual inputs but removes expected referent count and changes prompt mode.,3971 prediction records are preserved; 29 manifest events without a prediction remain in the 4000-event evaluation denominator.
projected_2d,no_gaze,Qwen3-VL-30B-A3B-Instruct,/workspace/usr3/Qwen3-VL-30B-A3B-Instruct (revision/hash UNKNOWN),4000,shared manifest scene+row_index/event_id,"language, full panels with projected gaze marker masked; gaze-specific prompt prior removed",Three full panels; projected green gaze marker locally masked,ablation/exam2/scripts/run_qwen3vl_2d_point_grounding.py,N/A (open 2D point output; GT anchor projections evaluator-only),exam2/outputs_qwen3vl30b_2d_point_hybrid_v10/manifest/manifest_all.csv,max_new_tokens=768; do_sample=False; input_mode=multi_image; 3 panels,ablation/exam2/scripts/run_qwen3vl_2d_point_grounding.py,same parser file; paired_canvas mapping only for paired_crop inputs,exam2/evaluate_2d_point_grounding.py --coordinate_mode panel,/workspace/usr3/TriModal-Referring/ablation/exam2/outputs/no_gaze,/workspace/usr3/TriModal-Referring/ablation/exam2/outputs/no_gaze/eval/2d_eval_summary.json,/workspace/usr3/TriModal-Referring/ablation/exam2/outputs/no_gaze/eval/2d_eval_detail.csv,true,false,hybrid_ablation,"Removes gaze-specific text, masks the projected marker, and also removes the gaze-centered crop path by changing paired inputs to full panels.",3971 prediction records are preserved; 29 manifest events without a prediction remain in the 4000-event evaluation denominator.
